,gain
log_pre1_kakak,9715789.179340499
lag8_kakaku_mean,5334877.971804734
log_pre2_kakak,2789073.2890795087
lag8_kakaku_median,1185009.0059619155
lag8_kakaku_min,19488.44322813209
lag8_kakaku_max,18550.50552746281
change_y2,10911.292455883697
centroid_lat,2971.461950209923
centroid_lon,1980.5198355177417
swari_ratio,1206.8211034052074
is_commercial,1042.5479132654145
lag8_kakaku_std,496.72613859921694
chiku_4,313.6238813921809
line_length_m,288.85761574842036
chiku_7,147.97829808760434
azimuth_deg,102.48544631619006
chiku_5,95.51695899479091
chiku_2,84.72903160005808
chiku_6,51.22559086419642
chiku_3,11.286007720977068
chiku_1,0.037921199575066566
